,no_partner,1partner,2_3partners,group, 1st time,2nd time,more than 2,tlevel_1,tlevel_2,tlevel_3,tlevel_4
BUFFALO - 26cm Sans Mozzarella  ID15,0.09099124116972573,0.1605877916447831,0.16848281216359565,0.03179384987651621,0.39352014764209603,0.04197772797707194,0.016100561554794612,0.05111513524984153,0.056219766937414845,0.09706725876794618,0.2471336154141517
BUFFALO - 26cm Sans Origan  ID15,0.08977472901727643,0.1584735757069228,0.16595829665475292,0.03135547595476706,0.3881762910489788,0.041146661641026865,0.01598592459448808,0.05022033786057576,0.05535033180601068,0.0955469933008206,0.24412914503091346
BUFFALO - 26cm Sans Pepperoni  ID15,0.09126217376729953,0.1614641040243371,0.16953694039694564,0.032095791624755295,0.3960092696013078,0.042068315969567165,0.016022895802235537,0.05130703828278354,0.056469735112105734,0.09772997365878598,0.24853098717320662
BUFFALO - 26cm Saumon - 26 cm  ID15,0.07435014396530291,0.13373147653882003,0.1398392113914779,0.02668504768208081,0.3260648099473103,0.03560235410527463,0.012723849929737397,0.04248897927148065,0.04577086509726916,0.08162985665903918,0.20444811489826983
BUFFALO - 26cm  - tomates fraîches  ID15,0.07663828472167006,0.13784152382608647,0.14398633344835624,0.02742495947602075,0.3358400491275454,0.036672563365473976,0.0131566196609254,0.04378089271115109,0.047069910524138454,0.08405618124128665,0.21070808724788123
BUFFALO - 31cm Ananas - 31 cm  ID16,0.07416678848064433,0.13354677244141994,0.14000311747641422,0.026740184351031652,0.32587356701466264,0.0357529819730183,0.012616094579514393,0.042581279360825196,0.04579311798204144,0.08173897116475866,0.20407638124441077
BUFFALO - 31cm Anchois - 31 cm  ID16,0.07390020014323863,0.13303854987024727,0.13918185054859974,0.026593648178072506,0.3243204558242456,0.03559988366868319,0.012579921688671843,0.042316311747926806,0.045539517390520194,0.08133607072987369,0.20325593792212213
BUFFALO - 31cm Banane - 31 cm  ID16,0.07416678848064433,0.13354677244141994,0.14000311747641422,0.026740184351031652,0.32587356701466264,0.0357529819730183,0.012616094579514393,0.042581279360825196,0.04579311798204144,0.08173897116475866,0.20407638124441077
BUFFALO - 31cm  - bœuf épicé  ID16,0.07562845097561609,0.13620990447562067,0.1425823049331908,0.027177588379067415,0.33205723655864683,0.036417041963573836,0.012905249999785045,0.043381912399598675,0.04668318376571165,0.08327064324146748,0.20799018886978457
BUFFALO - 31cm  - câpres  ID16,0.07369327345579342,0.13276701922229311,0.13891294204528934,0.02655004431152195,0.3236908885309963,0.035486523065338935,0.012532717948153575,0.04222797190914068,0.04546192256284547,0.08116035272523733,0.20280734073459297
BUFFALO - 31cm  - champignons frais  ID16,0.07663117108597134,0.13769941596474586,0.14409235651053018,0.027438414153364774,0.3358675981476282,0.03660174293592404,0.013171009454859873,0.04380150321213005,0.04718856402126658,0.08397508764825004,0.21062087963423604
BUFFALO - 31cm  - chorizo  ID16,0.07416678848064433,0.13354677244141994,0.14000311747641422,0.026740184351031652,0.32587356701466264,0.0357529819730183,0.012616094579514393,0.042581279360825196,0.04579311798204144,0.08173897116475866,0.20407638124441077
BUFFALO - 31cm  - crème fraîche  ID16,0.07712729282291134,0.13840695177586027,0.14496068372678114,0.027739351828231597,0.3378667752657631,0.036993235340068195,0.01315172153591329,0.04402423875005158,0.04748238695156546,0.08463033302248517,0.21181996141412407
BUFFALO - 31cm  - double mozzarella  ID16,0.07974940909385096,0.1423679041816218,0.14908784481134607,0.028407330655365482,0.34792068697659917,0.037688774658643794,0.013774937006881831,0.045245098193263444,0.049240834682980156,0.08662461754394296,0.2182175616518368
BUFFALO - 31cm  - fromage de chèvre  ID16,0.0821103996580126,0.14660766128960695,0.15336786599731117,0.029116817513420892,0.3580276591788964,0.038785244182570115,0.01415372381116326,0.04670648305526092,0.05060583340399789,0.08907014572839812,0.22452633964805663
BUFFALO - 31cm  - jambon  ID16,0.07542699016381009,0.13580354978620005,0.14220454139485936,0.027031244713208027,0.3310944102467366,0.036241296681406215,0.012911917290557528,0.04330275720975334,0.046490923199527676,0.08292312080036661,0.20747742581504888
BUFFALO - 31cm  - lardons fumés  ID16,0.07581542227720915,0.1365316876443823,0.14288562043496789,0.0272317794962205,0.3327875797601512,0.03652306493087157,0.012934052085915599,0.04347576375976399,0.04671941397931618,0.08345776456185751,0.20853820928206804
BUFFALO - 31cm  - merguez  ID16,0.07381524919999277,0.13298208967970668,0.1392115901680808,0.026605546064147268,0.3242995222790978,0.03552960887994021,0.01257206054991466,0.0423134814592699,0.04556166322316227,0.08133107966934115,0.20314235545883275
BUFFALO - 31cm Miel - 31 cm  ID16,0.0764398290142596,0.13755978997005344,0.14429441389773554,0.02757268542607747,0.33599272209151876,0.03666418325820021,0.012989235454697106,0.04380785368812407,0.04724198464134533,0.08415814959990874,0.2103838720107288
BUFFALO - 31cm  - œuf  ID16,0.0764398290142596,0.13755978997005344,0.14429441389773554,0.02757268542607747,0.33599272209151876,0.03666418325820021,0.012989235454697106,0.04380785368812407,0.04724198464134533,0.08415814959990874,0.2103838720107288
BUFFALO - 31cm  - oignons  ID16,0.07478208233405294,0.13421834694343887,0.14013097306302305,0.026807291854960304,0.32702844575699974,0.03595973006592573,0.012734649282736528,0.04265218651553575,0.04597098906800603,0.08191189809743292,0.20513489889327638
BUFFALO - 31cm  - pepperoni  ID16,0.0764398290142596,0.13755978997005344,0.14429441389773554,0.02757268542607747,0.33599272209151876,0.03666418325820021,0.012989235454697106,0.04380785368812407,0.04724198464134533,0.08415814959990874,0.2103838720107288
BUFFALO - 31cm  - poivrons  ID16,0.07369327345579342,0.13276701922229311,0.13891294204528934,0.02655004431152195,0.3236908885309963,0.035486523065338935,0.012532717948153575,0.04222797190914068,0.04546192256284547,0.08116035272523733,0.20280734073459297
BUFFALO - 31cm  - pommes de terre  ID16,0.08121103541468586,0.14487629784429348,0.1513017259317081,0.02892387885172466,0.3537641478059986,0.038365169435724884,0.013950650309226941,0.04600535279700451,0.049986500602182654,0.08795218825375913,0.22207842082492926
BUFFALO - 31cm  - poulet  ID16,0.07360735009116547,0.13265997282002265,0.13880781420199576,0.02652910439314188,0.3233848430764443,0.035469509419631104,0.01253710074129315,0.04219803750581555,0.04539708923884202,0.08112731703604195,0.20261652765472277
BUFFALO - 31cm Reblochon - 31 cm  ID16,0.07416678848064433,0.13354677244141994,0.14000311747641422,0.026740184351031652,0.32587356701466264,0.0357529819730183,0.012616094579514393,0.042581279360825196,0.04579311798204144,0.08173897116475866,0.20407638124441077
BUFFALO - 31cm Roquefort - 31 cm  ID16,0.07416678848064433,0.13354677244141994,0.14000311747641422,0.026740184351031652,0.32587356701466264,0.0357529819730183,0.012616094579514393,0.042581279360825196,0.04579311798204144,0.08173897116475866,0.20407638124441077
BUFFALO - 31cm Sans Boeuf  ID16,0.09062674383133165,0.15965283789498985,0.16684438507476254,0.03151708158441702,0.39073074093429716,0.04159929915703625,0.016054996627315445,0.0505900702694354,0.05595291568935028,0.09619460410359704,0.24558532013647846
BUFFALO - 31cm Sans Ketchup  ID16,0.09126217376729953,0.1614641040243371,0.16953694039694564,0.032095791624755295,0.3960092696013078,0.042068315969567165,0.016022895802235537,0.05130703828278354,0.056469735112105734,0.09772997365878598,0.24853098717320662
BUFFALO - 31cm Sans Mozzarella  ID16,0.09099124116972573,0.1605877916447831,0.16848281216359565,0.03179384987651621,0.39352014764209603,0.04197772797707194,0.016100561554794612,0.05111513524984153,0.056219766937414845,0.09706725876794618,0.2471336154141517
BUFFALO - 31cm Sans Origan  ID16,0.08977472901727643,0.1584735757069228,0.16595829665475292,0.03135547595476706,0.3881762910489788,0.041146661641026865,0.01598592459448808,0.05022033786057576,0.05535033180601068,0.0955469933008206,0.24412914503091346
BUFFALO - 31cm Sans Pepperoni  ID16,0.09126217376729953,0.1614641040243371,0.16953694039694564,0.032095791624755295,0.3960092696013078,0.042068315969567165,0.016022895802235537,0.05130703828278354,0.056469735112105734,0.09772997365878598,0.24853098717320662
BUFFALO - 31cm Saumon - 31 cm  ID16,0.07435014396530291,0.13373147653882003,0.1398392113914779,0.02668504768208081,0.3260648099473103,0.03560235410527463,0.012723849929737397,0.04248897927148065,0.04577086509726916,0.08162985665903918,0.20444811489826983
BUFFALO - 31cm  - tomates fraîches  ID16,0.07663828472167006,0.13784152382608647,0.14398633344835624,0.02742495947602075,0.3358400491275454,0.036672563365473976,0.0131566196609254,0.04378089271115109,0.047069910524138454,0.08405618124128665,0.21070808724788123
DJERBA - 26cm Anchois - 26 cm  ID17,0.07498048039950705,0.1343104515211312,0.14082348426274616,0.0271044184723351,0.3289148641428266,0.03547528498783312,0.012612979748290514,0.042445111021133464,0.046147418838354964,0.0820791578439948,0.20627796146817462
DJERBA - 26cm Artichaut - 26 cm  ID17,0.07516871830508068,0.134699305183097,0.1414950228815937,0.02721580771266662,0.33012831866242615,0.035596400504528544,0.012638379302087723,0.042665471680162444,0.04634942315599533,0.08240403642057258,0.20689030664602862
DJERBA - 26cm  - bœuf épicé  ID17,0.0767552334171278,0.13751927871931233,0.14428652900059674,0.027708091676212285,0.3368120222759367,0.03630188080839759,0.012934710134809778,0.04351297243155424,0.04730943767741729,0.08404078093618414,0.21113075168638745
DJERBA - 26cm  - câpres  ID17,0.07463898156414438,0.13376965931031484,0.1402795188580083,0.02700849094573511,0.32764351918065926,0.0352955462581124,0.012543103542256163,0.04226653462868404,0.04597805382151472,0.0817368587213916,0.20544725397745497
DJERBA - 26cm  - champignons frais  ID17,0.07746665755020106,0.13852306039347112,0.14528333487066278,0.027875969839963086,0.33942215593243374,0.03635344615727239,0.013151448384325776,0.043775287292804846,0.04764986243517121,0.08445853035212253,0.2129881811913739
DJERBA - 26cm  - chorizo  ID17,0.07516871830508068,0.134699305183097,0.1414950228815937,0.02721580771266662,0.33012831866242615,0.035596400504528544,0.012638379302087723,0.042665471680162444,0.04634942315599533,0.08240403642057258,0.20689030664602862
DJERBA - 26cm  - crème fraîche  ID17,0.07792174963695105,0.13917609610924164,0.14607438049066673,0.028150133931642462,0.3412253765952501,0.0367392044776256,0.01313434718889598,0.043996076266843424,0.047910959274838724,0.0850692236650087,0.21406702155497911
DJERBA - 26cm  - double mozzarella  ID17,0.08012454413438995,0.1424034476309007,0.14944926471328543,0.028679048171323242,0.34950026760906083,0.03725388967343817,0.013674331942171164,0.04498176592600603,0.049407248075371314,0.08663821603412067,0.21934440205631436
DJERBA - 26cm  - fromage de chèvre  ID17,0.08243501249619557,0.1465720335807212,0.15365173250663489,0.02938289280515629,0.3594299759007596,0.038327895625277913,0.014048103019032386,0.0464104688530901,0.05074700916022161,0.08904714989155055,0.2255429966157215
DJERBA - 26cm  - jambon  ID17,0.07632027408022285,0.13677513363878546,0.14352490951073557,0.027486978766254444,0.33492476872532595,0.03605154984170037,0.012911086848581459,0.04333431786374124,0.04698517799277845,0.08348693975165765,0.2100266495263282
DJERBA - 26cm  - lardons fumés  ID17,0.07681921693389633,0.13766021728835576,0.1443834302663437,0.02771998414780308,0.3370625265830325,0.03635220135367565,0.01294682703543963,0.04354765533760553,0.04727751234380442,0.08411072391198204,0.21137109329528936
DJERBA - 26cm  - merguez  ID17,0.07477645761662015,0.13403023389223026,0.14061683591353666,0.027073102692201367,0.32834873011682125,0.03535184038609859,0.012581412736672697,0.04236533124030244,0.046094179737836714,0.08193999729901419,0.20582890096555292
DJERBA - 26cm Miel - 26 cm  ID17,0.07662395307654227,0.13727865997282931,0.14426652922299374,0.027741103730584728,0.3366296660934086,0.03617581588851923,0.01288492213303609,0.04346294070460282,0.0472965802161867,0.08395566722740248,0.21092057221381913
DJERBA - 26cm Noix - 26 cm  ID17,0.07662395307654227,0.13727865997282931,0.14426652922299374,0.027741103730584728,0.3366296660934086,0.03617581588851923,0.01288492213303609,0.04346294070460282,0.0472965802161867,0.08395566722740248,0.21092057221381913
DJERBA - 26cm Oeuf - 26 cm  ID17,0.07662395307654227,0.13727865997282931,0.14426652922299374,0.027741103730584728,0.3366296660934086,0.03617581588851923,0.01288492213303609,0.04346294070460282,0.0472965802161867,0.08395566722740248,0.21092057221381913
DJERBA - 26cm  - œuf  ID17,0.07662395307654227,0.13727865997282931,0.14426652922299374,0.027741103730584728,0.3366296660934086,0.03617581588851923,0.01288492213303609,0.04346294070460282,0.0472965802161867,0.08395566722740248,0.21092057221381913
DJERBA - 26cm  - oignons  ID17,0.07587463087002001,0.13554187444211038,0.14183055151239551,0.02732052293112832,0.33172286373668364,0.03585436035381947,0.012772682590858715,0.04280041708710624,0.04659099461464292,0.08269707063571441,0.2082075135876612
DJERBA - 26cm Olives 26  ID17,0.08194384025874647,0.14712551800616394,0.15478836239574822,0.029497681316026734,0.36038262433018403,0.03883454546656335,0.013901682811997683,0.046779180247143,0.05049346697025802,0.08998860780155253,0.22580023767260926
DJERBA - 26cm  - pepperoni  ID17,0.07662395307654227,0.13727865997282931,0.14426652922299374,0.027741103730584728,0.3366296660934086,0.03617581588851923,0.01288492213303609,0.04346294070460282,0.0472965802161867,0.08395566722740248,0.21092057221381913
DJERBA - 26cm  - poivrons  ID17,0.07463898156414438,0.13376965931031484,0.1402795188580083,0.02700849094573511,0.32764351918065926,0.0352955462581124,0.012543103542256163,0.04226653462868404,0.04597805382151472,0.0817368587213916,0.20544725397745497
DJERBA - 26cm  - pommes de terre  ID17,0.08144101404318271,0.14466670882546884,0.15141209396529084,0.029147021408978756,0.35476358710119366,0.03784417589132015,0.013826752777916602,0.04564853994738778,0.05006881905509375,0.08781797341632055,0.22284121497044404
DJERBA - 26cm  - poulet  ID17,0.07461636767241624,0.13379361190656033,0.1403114629478147,0.02701064120894997,0.3276549391608974,0.035304541736992386,0.01255833955938729,0.04227440536962511,0.045961705203308445,0.08178857599854811,0.20543968293177875
DJERBA - 26cm Reblochon - 26 cm  ID17,0.07516871830508068,0.134699305183097,0.1414950228815937,0.02721580771266662,0.33012831866242615,0.035596400504528544,0.012638379302087723,0.042665471680162444,0.04634942315599533,0.08240403642057258,0.20689030664602862
DJERBA - 26cm Roquefort - 26 cm  ID17,0.07516871830508068,0.134699305183097,0.1414950228815937,0.02721580771266662,0.33012831866242615,0.035596400504528544,0.012638379302087723,0.042665471680162444,0.04634942315599533,0.08240403642057258,0.20689030664602862
