D.OrderHeaderID,D.PersonID,user_visit,H.NbDiners,nb_visits,avg_ticketU,pch_freq,visit_duration,TemperatureC,Humidity,Wind_Direction,Conditions,DoW,DoM,WoY,MoY,QoY,schedule,H,HMS
1298,10813,0,1,1,15.5,0.0,19.214116668701198,14,88,Calm,Clear,3,18,42,10,4,no_event,10,10:30:00
1299,10819,0,1,1,22.5,0.0,9.57809999783834,19,34,WNW,Clear,3,18,42,10,4,no_event,17,17:00:00
1300,10824,0,2,1,26.0,0.0,162.35193333625799,19,49,WNW,Clear,3,18,42,10,4,no_event,17,17:30:00
1301,10826,0,1,1,45.7,0.0,131.844400000572,18,39,WNW,Clear,3,18,42,10,4,no_event,18,18:00:00
1301,10827,0,1,1,23.5,0.0,128.806266665459,18,39,WNW,Clear,3,18,42,10,4,no_event,18,18:00:00
1303,10828,0,4,1,28.5,0.0,11.352333335081699,17,59,WNW,Clear,3,18,42,10,4,no_event,18,18:30:00
1303,10830,0,4,1,39.8,0.0,24.5169499993324,17,59,WNW,Clear,3,18,42,10,4,no_event,18,18:30:00
1303,10831,0,4,1,85.8,0.0,22.745566666126297,17,59,WNW,Clear,3,18,42,10,4,no_event,18,18:30:00
1302,10832,0,2,1,18.0,0.0,126.78204999764799,18,39,WNW,Clear,3,18,42,10,4,no_event,18,18:00:00
1304,10838,0,2,1,11.5,0.0,2.13923333088557,14,66,WNW,Clear,3,18,42,10,4,no_event,20,20:00:00
1304,10839,0,2,1,10.0,0.0,4.236833333969121,14,66,WNW,Clear,3,18,42,10,4,no_event,20,20:00:00
1306,10844,0,4,1,20.5,0.0,3.94794999758403,13,82,SSW,Clear,4,19,42,10,4,no_event,10,10:30:00
1306,10846,0,4,1,13.2,0.0,4.07554999987284,13,82,SSW,Clear,4,19,42,10,4,no_event,10,10:30:00
1306,10847,0,4,1,17.0,0.0,3.4580500006675696,13,82,SSW,Clear,4,19,42,10,4,no_event,10,10:30:00
1305,10848,0,1,1,18.5,0.0,10.2409333348274,13,82,SSW,Clear,4,19,42,10,4,no_event,10,10:30:00
1307,10852,0,3,1,16.0,0.0,4.35356666644414,13,81,Calm,Clear,4,19,42,10,4,no_event,11,11:00:00
1307,10853,0,3,1,3.0,0.0,3.02294999758403,13,81,Calm,Clear,4,19,42,10,4,no_event,11,11:00:00
1308,10864,0,1,1,33.0,0.0,1.7529000004132598,17,52,North,Overcast,4,19,42,10,4,no_event,16,16:30:00
1309,10869,0,1,1,36.0,0.0,74.9966000000636,16,45,North,Clear,4,19,42,10,4,no_event,17,17:00:00
1310,10870,0,2,1,19.5,0.0,46.7359333356221,16,45,North,Clear,4,19,42,10,4,no_event,17,17:00:00
