,mean_visit_duration,median_visit_duration,std_visit_duration
FLAMMENKUCHE - 26cm  - crème fraîche  ID5,55.45549863999638,55.24769889085029,34.50505288972312
FLAMMENKUCHE - 26cm  - double mozzarella  ID5,55.492401828095694,55.02380810614968,36.779082889853825
FLAMMENKUCHE - 26cm  - fromage de chèvre  ID5,56.123838804631845,55.250989660718126,34.49234803648362
FLAMMENKUCHE - 26cm  - jambon  ID5,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 26cm  - lardons fumés  ID5,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 26cm  - merguez  ID5,55.45549863999638,55.24769889085029,34.50505288972312
FLAMMENKUCHE - 26cm Miel - 26 cm  ID5,54.67796820532271,54.982710376773326,33.29682352077973
FLAMMENKUCHE - 26cm Noix - 26 cm  ID5,54.67796820532271,54.982710376773326,33.29682352077973
FLAMMENKUCHE - 26cm Oeuf - 26 cm  ID5,54.67796820532271,54.982710376773326,33.29682352077973
FLAMMENKUCHE - 26cm  - œuf  ID5,54.67796820532271,54.982710376773326,33.29682352077973
FLAMMENKUCHE - 26cm  - oignons  ID5,55.45549863999638,55.02380810614968,36.20961113681423
FLAMMENKUCHE - 26cm Olives 26  ID5,54.67796820532271,54.982710376773326,34.3054053814371
FLAMMENKUCHE - 26cm  - pepperoni  ID5,54.67796820532271,54.982710376773326,33.29682352077973
FLAMMENKUCHE - 26cm  - poivrons  ID5,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 26cm  - pommes de terre  ID5,55.492401828095694,55.02380810614968,36.779082889853825
FLAMMENKUCHE - 26cm  - poulet  ID5,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 26cm Reblochon - 26 cm  ID5,55.45549863999638,55.24769889085029,34.50505288972312
FLAMMENKUCHE - 26cm Roquefort - 26 cm  ID5,55.45549863999638,55.24769889085029,34.50505288972312
FLAMMENKUCHE - 26cm Sans Crème Fraîche  ID5,55.492401828095694,55.02380810614968,34.919060672155766
FLAMMENKUCHE - 26cm Sans Lardons  ID5,56.181032036580135,55.250989660718126,34.919060672155766
FLAMMENKUCHE - 26cm Sans Oignons  ID5,56.181032036580135,55.250989660718126,34.919060672155766
FLAMMENKUCHE - 26cm Saumon - 26 cm  ID5,55.45549863999638,55.02380810614968,36.20961113681423
FLAMMENKUCHE - 26cm  - tomates fraîches  ID5,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 31cm Ananas - 31 cm  ID6,55.45549863999638,55.24769889085029,34.50505288972312
FLAMMENKUCHE - 31cm Anchois - 31 cm  ID6,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 31cm Banane - 31 cm  ID6,55.45549863999638,55.24769889085029,34.50505288972312
FLAMMENKUCHE - 31cm  - bœuf épicé  ID6,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 31cm  - câpres  ID6,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 31cm  - champignons frais  ID6,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 31cm  - chorizo  ID6,55.45549863999638,55.24769889085029,34.50505288972312
FLAMMENKUCHE - 31cm  - crème fraîche  ID6,55.45549863999638,55.24769889085029,34.50505288972312
FLAMMENKUCHE - 31cm  - double mozzarella  ID6,55.492401828095694,55.02380810614968,36.779082889853825
FLAMMENKUCHE - 31cm  - fromage de chèvre  ID6,56.123838804631845,55.250989660718126,34.49234803648362
FLAMMENKUCHE - 31cm  - jambon  ID6,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 31cm  - lardons fumés  ID6,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 31cm  - merguez  ID6,55.45549863999638,55.24769889085029,34.50505288972312
FLAMMENKUCHE - 31cm Miel - 31 cm  ID6,54.67796820532271,54.982710376773326,33.29682352077973
FLAMMENKUCHE - 31cm  - œuf  ID6,54.67796820532271,54.982710376773326,33.29682352077973
FLAMMENKUCHE - 31cm  - oignons  ID6,55.45549863999638,55.02380810614968,36.20961113681423
FLAMMENKUCHE - 31cm  - pepperoni  ID6,54.67796820532271,54.982710376773326,33.29682352077973
FLAMMENKUCHE - 31cm  - poivrons  ID6,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 31cm  - pommes de terre  ID6,55.492401828095694,55.02380810614968,36.779082889853825
FLAMMENKUCHE - 31cm  - poulet  ID6,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 31cm Reblochon - 31 cm  ID6,55.45549863999638,55.24769889085029,34.50505288972312
FLAMMENKUCHE - 31cm Roquefort - 31 cm  ID6,55.45549863999638,55.24769889085029,34.50505288972312
FLAMMENKUCHE - 31cm Sans Crème Fraîche  ID6,55.492401828095694,55.02380810614968,34.919060672155766
FLAMMENKUCHE - 31cm Sans Lardons  ID6,56.181032036580135,55.250989660718126,34.919060672155766
FLAMMENKUCHE - 31cm Sans Oignons  ID6,56.181032036580135,55.250989660718126,34.919060672155766
FLAMMENKUCHE - 31cm Saumon - 31 cm  ID6,55.45549863999638,55.02380810614968,36.20961113681423
FLAMMENKUCHE - 31cm  - tomates fraîches  ID6,55.45549863999638,55.24769889085029,35.500929897140985
CHICKEN - 26cm Anchois - 26 cm  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm Artichaut - 26 cm  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - bœuf épicé  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - câpres  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - champignons frais  ID7,55.299723358324385,55.24769889085029,34.3054053814371
CHICKEN - 26cm  - chorizo  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - crème fraîche  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - double mozzarella  ID7,54.67796820532271,54.982710376773326,34.3054053814371
