ID,ProductID,Name,ProductGroupID,Name,GrossPrice,NetPrice,GuidedActivityID,WorkingOrder
63,63,BROCHETTE DE POULET_201709,14,Plats_201709,0.00000,13.00,11,3
64,64,ESCALOPE JURASIENNE_201709,14,Plats_201709,0.00000,13.00,11,3
65,65,TARTINE JURASSIENNE_201709,14,Plats_201709,0.00000,13.60,11,3
66,66,ASSIETTE COMTOISE_201709,14,Plats_201709,0.00000,13.60,11,3
67,67,GRATIN DAUPHINOIS_201709,15,Accompagnements solo_201709,0.00000,10.00,11,3
68,68,POELEE DE LEGUMES_201709,15,Accompagnements solo_201709,0.00000,10.00,11,3
69,69,ROSTI_201709,15,Accompagnements solo_201709,0.00000,10.00,11,3
70,70,ACCOMPAGNEMENT SALADE VERTE_201709,15,Accompagnements solo_201709,0.00000,10.00,11,3
71,71,ASSIETTE VEGETARIENNE_201709,15,Accompagnements solo_201709,0.00000,10.00,11,3
72,72,ASSIETTE DE FROMAGES_201709,16,Desserts_201709,0.00000,5.10,12,4
72,72,ASSIETTE DE FROMAGES_201709,35,GA Dessert Menu Liberty_201709,0.00000,5.10,12,4
72,72,ASSIETTE DE FROMAGES_201709,39,GA Dessert Menu Ciné_201709,0.00000,5.10,12,4
72,72,ASSIETTE DE FROMAGES_201709,54,GA Desserts_201709,0.00000,5.10,12,4
73,73,Vin blanc IGP,56,GA Accompagnement fromage_201709,0.00000,3.00,NULL,4
74,74,Vin rosé IGP,56,GA Accompagnement fromage_201709,0.00000,3.00,NULL,4
75,75,Vin rouge IGP_201709,56,GA Accompagnement fromage_201709,0.00000,3.00,NULL,4
76,76,Rosé - Côte de Provence "Cap des Pins" 15CL,56,GA Accompagnement fromage_201709,0.00000,3.40,NULL,4
76,76,Rosé - Côte de Provence "Cap des Pins" 15CL,1007,Boissons à Emporter,0.00000,3.40,NULL,4
77,77,Rosé de Californie "Gallo"-15cl_201709,56,GA Accompagnement fromage_201709,0.00000,3.60,NULL,1
77,77,Rosé de Californie "Gallo"-15cl_201709,1007,Boissons à Emporter,0.00000,3.60,NULL,1
78,78,Rouge - Côte du Rhône "Vinsobraise"15cl_201709,56,GA Accompagnement fromage_201709,0.00000,3.40,NULL,4
79,79,Crémant du Jura brut fruitère d'Arbois - Coupe 12cl_201709,56,GA Accompagnement fromage_201709,0.00000,3.50,NULL,4
80,80,ILE FLOTTANTE_201709,17,Les Traditionnels_201709,0.00000,4.00,NULL,4
80,80,ILE FLOTTANTE_201709,35,GA Dessert Menu Liberty_201709,0.00000,4.00,NULL,4
80,80,ILE FLOTTANTE_201709,39,GA Dessert Menu Ciné_201709,0.00000,4.00,NULL,4
80,80,ILE FLOTTANTE_201709,54,GA Desserts_201709,0.00000,4.00,NULL,4
81,81,MOUSSE AU CHOCOLAT_201709,17,Les Traditionnels_201709,0.00000,4.50,NULL,4
81,81,MOUSSE AU CHOCOLAT_201709,35,GA Dessert Menu Liberty_201709,0.00000,4.50,NULL,4
81,81,MOUSSE AU CHOCOLAT_201709,39,GA Dessert Menu Ciné_201709,0.00000,4.50,NULL,4
81,81,MOUSSE AU CHOCOLAT_201709,43,GA Dessert Menu Kids_201709,0.00000,4.50,NULL,4
81,81,MOUSSE AU CHOCOLAT_201709,54,GA Desserts_201709,0.00000,4.50,NULL,4
82,82,TARTE TATIN_201709,17,Les Traditionnels_201709,0.00000,5.50,NULL,4
82,82,TARTE TATIN_201709,54,GA Desserts_201709,0.00000,5.50,NULL,4
83,83,PROFITEROLES_201709,17,Les Traditionnels_201709,0.00000,5.50,NULL,4
83,83,PROFITEROLES_201709,54,GA Desserts_201709,0.00000,5.50,NULL,4
84,84,MOELLEUX AU CHOCOLAT_201709,17,Les Traditionnels_201709,0.00000,5.00,NULL,4
84,84,MOELLEUX AU CHOCOLAT_201709,35,GA Dessert Menu Liberty_201709,0.00000,5.00,NULL,4
84,84,MOELLEUX AU CHOCOLAT_201709,39,GA Dessert Menu Ciné_201709,0.00000,5.00,NULL,4
84,84,MOELLEUX AU CHOCOLAT_201709,54,GA Desserts_201709,0.00000,5.00,NULL,4
85,85,CREME BRULEE_201709,17,Les Traditionnels_201709,0.00000,4.50,NULL,4
85,85,CREME BRULEE_201709,35,GA Dessert Menu Liberty_201709,0.00000,4.50,NULL,4
85,85,CREME BRULEE_201709,39,GA Dessert Menu Ciné_201709,0.00000,4.50,NULL,4
85,85,CREME BRULEE_201709,54,GA Desserts_201709,0.00000,4.50,NULL,4
86,86,FROMAGE BLANC_201709,17,Les Traditionnels_201709,0.00000,4.00,NULL,4
86,86,FROMAGE BLANC_201709,54,GA Desserts_201709,0.00000,4.00,NULL,4
87,87,CAFE GOURMAND_201709,17,Les Traditionnels_201709,0.00000,6.00,NULL,4
87,87,CAFE GOURMAND_201709,54,GA Desserts_201709,0.00000,6.00,NULL,4
88,88,DECAFEINE GOURMAND_201709,17,Les Traditionnels_201709,0.00000,6.00,NULL,4
